e,j
girlfriend,ガールフレンド
liar,うそつき
swear,〜を誓う
polish,〜をみがく
keyboard,キーボード
sunrise,日の出
urban,都会の
lettuce,レタス
uncommon,珍しい
beggar,物乞い
blossom,花
kitten,子猫
concern,〜に関係する
manual,手動の
tear,〜を引き裂く
hum,鼻歌を歌う
tender,柔らかい
punishment,罰
printing,印刷
undoubtedly,疑いなく
curry,カレー
essentially,本質的に
pace,歩調
execute,〜を実行する
corporation,企業
bilingual,二言語使用の
softball,ソフトボール
eliminate,〜を除去する
fluent,流暢な
peacefully,平和に
shirts,シャツ(複)
nylon,ナイロン
noun,名詞
creep,這って進む
sorrow,悲しみ
athletic,運動競技の
spice,薬味
sorrow,悲しみ
mill,製粉機
acceptable,受諾しうる
mill,製粉機
convert,〜を転換する
republic,共和国
traditionally,伝統的に
convert,〜を転換する
absurd,不条理な
incredible,信じられない
harmony,調和
equipment,装備
jewelry,宝石類
uncomfortable,心地よくない
fur,毛皮
execute,〜を許す
lesser,より劣った
glory,栄光
firm,堅固な
rather,かなり
fur,毛皮
summarize,〜を要約する
sane,正気の
arrest,逮捕
vest,ベスト、チョッキ
bet,〜を賭ける
tournament,トーナメント
sherbet,シャーベット
badminton,バドミントン
recall,〜を思い出す
protein,タンパク質
weakness,弱さ
cliff,崖
conscious,意識のある
incorrect,不正確な
dove,ハト
spontaneously,自発的に
incorrect,不正確な
conscious,意地の悪い
allergy,アレルギー
biography,伝記
northwestern,北西の
jelly,ゼリー
survival,生き残ること
dominant,優勢な
pronunciation,発音
prayer,祈り
sticky,ねばねばする
survival,生き残ること
greatly,大いに
afford,〜する余裕がある
paradise,天国
hook,釣り針
sneeze,くしゃみをする
whiten,〜を白くする
ton,トン(重さの単位)
whiten,〜を怖がらせる
resource,資源
execute,〜を実行する
parliament,議会
recall,〜を申告する
badminton,クレーン
jelly,ゼリー
unexpected,予期していない
happiness,幸せ
helping,援助
merchant,貿易商
clothing,衣類
helping,命令
motion,動作
lamp,ランプ
current,現在の
vinegar,酢
acceptable,受諾しうる
precise,緻密な
vague,ぼんやりした
roar,うなる
qualify,〜に資格を与える
grateful,感謝している
journal,日誌
microscope,顕微鏡
daily,例年の
tadpole,オタマジャクシ
cartoon,漫画
stable,安定した
motion,動作
community,地域社会
viewpoint,観点
sort,〜を仕分けする
grasp,〜を握る
ethnic,民族の
face,〜に面している
unpleasant,不快な
committee,委員会
due,ためで、原因で
influence,影響
shadow,影
volume,分量
stuff,(漠然と)もの、こと
accompany,〜に同行する
gulf,湾
darken,〜を暗くする
constant,不変の、一定の
influence,接合部分
elect,〜を選出する
flow,流れる、注ぐ
division,分割
continental,大陸の
magic,魔法
typically,典型的に
represent,〜を象徴する
necessity,必要性
tragedy,悲劇
temper,気質
proverb,ことわざ
instant,瞬間
tidy,整然とした
license,免許
bit,少量
illustrate,〜を例証する
restraint,抑制
reveal,〜を明らかにする
digital,デジタルの
fountain,噴水
attitude,態度
passenger,乗客
sustain,〜を持続させる
oriental,東洋の
satellite,衛星
distinct,全く異なった
tone,音色
whisper,ささやく
frequently,頻繁に
offering,提供される物
oppose,〜に反対する
training,訓練
oppose,〜と思う
invest,〜を投資する
oppose,〜と思う
green tea,緑茶
quality,質
offering,類似
content,満足して
curl,〜を巻き毛にする
historically,歴史的に
fuel,燃料
olive,オリーブ
charge,料金
millionaire,百万長者
proper,適切な
visa,ビザ
politician,政治家
conquest,征服
remote,遠隔の
absurd,生産的な
basement,半地下室
spicy,香辛料のきいた
sort,〜を集める
click,カチッという音
drinker,酒飲み
importantly,もったいぶって
rent,〜を賃借する
sufficient,十分な
urgent,緊急の
advantage,有利
discourage,〜をがっかりさせる
emotionally,感情的に
software,ソフトウェア
palm,手のひら
technique,技術
planner,立案者
severe,厳格な
exception,例外
preserve,〜を保存する
solid,固体
paste,糊(のり)
skillful,熟練した
rapidly,迅速に
disability,能力を欠くこと
whip,〜をむち打つ
overwhelming,圧倒的な
opening,開くこと
orchestra,オーケストラ
debate,討論
environmental,環境の
aggressive,攻撃的な
housework,家事
regulation,規則
mission,使節団
assign,〜を割り当てる
minus,〜を引いた
approximately,およそ
fate,運命
grant,〜を認可する
environment,環境
magnet,磁石
convert,〜を転換する
stable,極端な
temper,気温
translation,翻訳
classify,〜を類別する
reliable,信頼できる
envy,羨望
restraint,抑制
route,道筋
heal,(傷を)癒す
entertaining,おもしろい
beneficial,有益な
daily,例年の
oriental,非常にうれしい
consistent,一貫した
diplomatic,外交の
shark,サメ
plankton,プランクトン
fuel,敗北
hero,英雄
inspire,〜を奮起させる
millionaire,特許権所有者
confess,〜を告白する
multiple,複合的な
exercise,運動
symbol,象徴
discouraged,がっかりした
winery,酢
snore,いびきをかく
click,カチッと音がする
mate,仲間
evaluate,〜の価値を評価する
rotate,遠隔の
